"assembly_accession","taxid","organism_name","assembly_level","release_type","genome_rep","seq_rel_date","asm_name","submitter","gbrs_paired_asm","paired_asm_comp","ftp_path","excluded_from_refseq","relation_to_type_material","asm_not_live_date","superkingdom","phylum","class","order","family","genus","assembly_id","b_complete","b_complete_and_single_copy","b_complete_and_duplicated","b_fragmented","b_missing","b_total_groups_searched","genome_size","global_cg_oe","global_cg_dens","dist_from_zeb_lca","mean_lifespan","mae_lifespan","mre_lifespan","sd_lifespan","max_lifespan","n_reported_values"
"GCA_013375575.1",54317,"Percina caprodes","Scaffold","Major","Full","2020/06/29","MU_Pcap_1.0","McGill University","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/375/575/GCA_013375575.1_MU_Pcap_1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Perciformes","Percidae","Percina","GCA_013375575.1_MU_Pcap_1.0",96.2,85.6,10.6,0.5,3.3,3640,1011959657,0.422939673930071,0.0175039675519397,460.8,3,0,0,0,3,3
"GCA_013435755.1",61819,"Amphilophus citrinellus","Chromosome","Major","Full","2020/07/23","ASM1343575v1","Max Planck Institute of Molecular Cell Biology and Genetics","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/013/435/755/GCA_013435755.1_ASM1343575v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Amphilophus","GCA_013435755.1_ASM1343575v1",96.8,95,1.8,0.2,3,3640,961230971,0.361219037892087,0.014200415313085,460.8,12.5,2.5,20,3.53553390593274,15,2
"GCA_014183145.1",76340,"Sciaenops ocellatus","Chromosome","Major","Full","2020/08/14","ASM1418314v1","Shanghai Ocean University","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/183/145/GCA_014183145.1_ASM1418314v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Unknown","Sciaenidae","Sciaenops","GCA_014183145.1_ASM1418314v1",95.3,92.4,2.9,1.6,3.1,3640,684633790,0.437235147388626,0.0167660640880725,460.8,35.2857142857143,12.6122448979592,35.7432041642568,16.265651802846,50,7
"GCA_014281875.1",240163,"Nibea albiflora","Chromosome","Major","Full","2020/08/25","ASM1428187v1","Marine Fishery Institute of Zhejiang Province","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/281/875/GCA_014281875.1_ASM1428187v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Unknown","Sciaenidae","Nibea","GCA_014281875.1_ASM1428187v1",96.9,95.4,1.5,0.6,2.5,3640,627578634,0.492128174352608,0.0223096521160406,460.8,4.25,0.375,8.82352941176471,0.5,5,4
"GCA_014621495.2",245074,"Entosphenus tridentatus","Chromosome","Major","Full","2020/11/05","ETRf_v1","University of Kentucky","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/621/495/GCA_014621495.2_ETRf_v1","",NA,"na","Eukaryota","Chordata","Hyperoartia","Petromyzontiformes","Petromyzontidae","Entosphenus","GCA_014621495.2_ETRf_v1",40.7,39.2,1.5,2.6,56.7,3640,927744424,0.970607233661293,0.0415197138387759,1171.856,9,0,0,0,9,3
"GCA_014656515.1",126373,"Oryzias celebensis","Scaffold","Major","Full","2020/09/12","OryCel_1.0","National Institute of Genetics","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/656/515/GCA_014656515.1_OryCel_1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Beloniformes","Adrianichthyidae","Oryzias","GCA_014656515.1_OryCel_1.0",96,94.6,1.4,0.6,3.4,3640,688104639,0.442107070194375,0.0167550578016086,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_014673565.1",214486,"Sebastes schlegelii","Chromosome","Major","Full","2020/09/21","ASM1467356v1","Qingdao Agricultural University","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/673/565/GCA_014673565.1_ASM1467356v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Perciformes","Sebastidae","Sebastes","GCA_014673565.1_ASM1467356v1",97.4,95.9,1.5,0.4,2.2,3640,848024649,0.509025495765046,0.0211576373648545,460.8,20,0,0,0,20,2
"GCA_014706435.1",94993,"Silurus glanis","Scaffold","Major","Full","2020/10/02","S_gla_Hod_UTU_1.0","University of Turku","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/706/435/GCA_014706435.1_S_gla_Hod_UTU_1.0","",NA,"na","Eukaryota","Chordata","Actinopteri","Siluriformes","Siluridae","Silurus","GCA_014706435.1_S_gla_Hod_UTU_1.0",85.1,83.6,1.5,4,10.9,3640,793358859,0.525924777025728,0.016285713398708,284.22322,42.7777777777778,24.1975308641975,56.5656565656566,27.4307208152546,80,9
"GCA_014825785.1",219752,"Odontesthes bonariensis","Scaffold","Major","Full","2020/09/30","GWU_Obon_1.1","George Washington University","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/825/785/GCA_014825785.1_GWU_Obon_1.1","",NA,"na","Eukaryota","Chordata","Actinopteri","Atheriniformes","Atherinopsidae","Odontesthes","GCA_014825785.1_GWU_Obon_1.1",84.7,83.8,0.9,6,9.3,3640,870329685,0.586699548531763,0.0147466324787026,460.8,4,0,0,0,4,2
"GCA_014839685.1",195821,"Anableps anableps","Chromosome","Major","Full","2020/10/02","fAnaAna1.pri","Vertebrate Genomes Project","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/839/685/GCA_014839685.1_fAnaAna1.pri","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Anablepidae","Anableps","GCA_014839685.1_fAnaAna1.pri",96.9,96,0.9,0.4,2.7,3640,867632993,0.339013561800788,0.0125796507141355,460.8,6,2,33.3333333333333,2.82842712474619,8,2
"GCA_014839995.1",129108,"Xenentodon cancila","Chromosome","Major","Full","2020/10/02","fXenCan1.pri","Vertebrate Genomes Project","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/839/995/GCA_014839995.1_fXenCan1.pri","",NA,"na","Eukaryota","Chordata","Actinopteri","Beloniformes","Belonidae","Xenentodon","GCA_014839995.1_fXenCan1.pri",96.4,95.7,0.7,0.7,2.9,3640,736214936,0.46750105000794,0.0196313974265798,460.8,4,1,25,1.4142135623731,5,2
"GCA_014851395.1",27706,"Micropterus salmoides","Scaffold","Major","Full","2020/10/05","ASM1485139v1","Biozeron Shenzhen Inc.","GCF_014851395.1","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/851/395/GCA_014851395.1_ASM1485139v1","",NA,"na","Eukaryota","Chordata","Actinopteri","Centrarchiformes","Centrarchidae","Micropterus","GCA_014851395.1_ASM1485139v1",96.5,91.7,4.8,0.8,2.7,3640,963597430,0.414037713178192,0.017226787331718,460.8,16.0769230769231,4.2603550295858,26.4998159735002,5.13909101011613,23,13
"GCA_014905685.2",451745,"Nematolebias whitei","Chromosome","Major","Full","2021/03/24","NemWhi1","Michigan State University","GCF_014905685.2","different","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/905/685/GCA_014905685.2_NemWhi1","",NA,"na","Eukaryota","Chordata","Actinopteri","Cyprinodontiformes","Rivulidae","Nematolebias","GCA_014905685.2_NemWhi1",92.2,91,1.2,1.6,6.2,3640,1218332341,0.505091729705127,0.0180122666545876,460.8,0.75,0.25,33.3333333333333,0.353553390593274,1,2
"GCA_015052405.1",34792,"Altolamprologus calvus","Scaffold","Major","Full","2020/10/28","IOE3.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/405/GCA_015052405.1_IOE3.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Altolamprologus","GCA_015052405.1_IOE3.scf",72.7,72.1,0.6,11.7,15.6,3640,703299116,0.427724067684067,0.0174096607281958,460.8,12.5,2.5,20,3.53553390593274,15,2
"GCA_015052485.1",195090,"Lamprologus ocellatus","Scaffold","Major","Full","2020/10/28","ILD3.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/052/485/GCA_015052485.1_ILD3.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Lamprologus","GCA_015052485.1_ILD3.scf",67.9,67.4,0.5,13.9,18.2,3640,683075113,0.430293434925943,0.0174922490551929,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015102055.1",34794,"Chalinochromis brichardi","Scaffold","Major","Full","2020/10/29","AVA9.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/055/GCA_015102055.1_AVA9.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Chalinochromis","GCA_015102055.1_AVA9.scf",71.9,71.3,0.6,11.4,16.7,3640,695644622,0.424718895369137,0.0173346801206206,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015102085.1",32515,"Xenotilapia sima","Scaffold","Major","Full","2020/10/29","IUF7.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/085/GCA_015102085.1_IUF7.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Xenotilapia","GCA_015102085.1_IUF7.scf",71.7,71.1,0.6,12.3,16,3640,695915575,0.433405970669868,0.0177156647198189,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015102115.1",32503,"Lepidiolamprologus elongatus","Scaffold","Major","Full","2020/10/29","AUG8.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/115/GCA_015102115.1_AUG8.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Lepidiolamprologus","GCA_015102115.1_AUG8.scf",71.3,70.6,0.7,12.1,16.6,3640,686380566,0.42584090128271,0.0173191806249363,460.8,10,2,20,2.82842712474619,12,2
"GCA_015102225.1",34807,"Variabilichromis moorii","Scaffold","Major","Full","2020/10/29","AUC3.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/225/GCA_015102225.1_AUC3.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Variabilichromis","GCA_015102225.1_AUC3.scf",76.8,76.2,0.6,9.9,13.3,3640,716053702,0.425796703748285,0.0173997033535342,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015102295.1",27731,"Aulonocranus dewindti","Scaffold","Major","Full","2020/10/29","AUA9.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/295/GCA_015102295.1_AUA9.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Aulonocranus","GCA_015102295.1_AUA9.scf",71.2,70.5,0.7,11.5,17.3,3640,678090864,0.432975370917147,0.0177285547383514,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015102335.1",329912,"Neolamprologus hecqui","Scaffold","Major","Full","2020/10/29","A142.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/335/GCA_015102335.1_A142.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Neolamprologus","GCA_015102335.1_A142.scf",74.9,74.3,0.6,11.5,13.6,3640,715079083,0.430465772372291,0.0176006532692832,460.8,10,2,20,2.82842712474619,12,2
"GCA_015102515.1",559353,"Neolamprologus sexfasciatus","Scaffold","Major","Full","2020/10/29","IND7.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/515/GCA_015102515.1_IND7.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Neolamprologus","GCA_015102515.1_IND7.scf",70.2,69.6,0.6,12.6,17.2,3640,688849680,0.421608369386945,0.0171095020324318,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015102735.1",32511,"Telmatochromis temporalis","Scaffold","Major","Full","2020/10/29","IMB4.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/102/735/GCA_015102735.1_IMB4.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Telmatochromis","GCA_015102735.1_IMB4.scf",72.9,72.2,0.7,11.5,15.6,3640,683388748,0.427152525622042,0.0173804222483335,460.8,5,1,20,1.4142135623731,6,2
"GCA_015103015.1",34800,"Neolamprologus brevis","Scaffold","Major","Full","2020/10/29","ILB6.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/015/GCA_015103015.1_ILB6.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Neolamprologus","GCA_015103015.1_ILB6.scf",68.6,67.9,0.7,12.8,18.6,3640,665718898,0.428282880454113,0.0174789239646912,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015103115.1",70784,"Julidochromis transcriptus","Scaffold","Major","Full","2020/10/29","HFG1287.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/115/GCA_015103115.1_HFG1287.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Julidochromis","GCA_015103115.1_HFG1287.scf",76.3,75.6,0.7,10.6,13.1,3640,713111330,0.427446463109944,0.0174818944469723,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015103275.1",309875,"Paracyprichromis nigripinnis","Scaffold","Major","Full","2020/10/29","GPC4.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/275/GCA_015103275.1_GPC4.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Paracyprichromis","GCA_015103275.1_GPC4.scf",75.6,75,0.6,10.7,13.7,3640,701602761,0.415894947268273,0.0170023575491602,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015103555.1",32494,"Chalinochromis popelini","Scaffold","Major","Full","2020/10/29","Bel09.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/555/GCA_015103555.1_Bel09.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Chalinochromis","GCA_015103555.1_Bel09.scf",69.6,68.8,0.8,12.9,17.5,3640,689823753,0.421410672013421,0.0172066066852296,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015103955.1",272720,"Lepidiolamprologus attenuatus","Scaffold","Major","Full","2020/10/29","AVG5.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/103/955/GCA_015103955.1_AVG5.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Lepidiolamprologus","GCA_015103955.1_AVG5.scf",72.9,72.2,0.7,11.8,15.3,3640,696192362,0.427230277740781,0.0173955183380768,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015104175.1",2759385,"Xenotilapia bathyphilus","Scaffold","Major","Full","2020/10/29","IVB4.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/175/GCA_015104175.1_IVB4.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Xenotilapia","GCA_015104175.1_IVB4.scf",73.9,73.2,0.7,11.7,14.4,3640,691266287,0.434385581715325,0.017798845729041,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015104535.1",143505,"Gnathochromis permaxillaris","Scaffold","Major","Full","2020/10/29","ITA4.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/535/GCA_015104535.1_ITA4.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Gnathochromis","GCA_015104535.1_ITA4.scf",75.8,75.2,0.6,11.5,12.7,3640,700749853,0.406734047542938,0.0165173819879488,460.8,10,2,20,2.82842712474619,12,2
"GCA_015104635.1",51791,"Cyprichromis leptosoma","Scaffold","Major","Full","2020/10/29","ISI2.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/635/GCA_015104635.1_ISI2.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Cyprichromis","GCA_015104635.1_ISI2.scf",73.1,72.3,0.8,11.7,15.2,3640,686586522,0.419850842417416,0.0171572330981469,460.8,7.5,2.5,33.3333333333333,3.53553390593274,10,2
"GCA_015104655.1",34793,"Altolamprologus compressiceps","Scaffold","Major","Full","2020/10/29","ISC9.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/655/GCA_015104655.1_ISC9.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Altolamprologus","GCA_015104655.1_ISC9.scf",72.8,72.2,0.6,12,15.2,3640,704179329,0.427806531168746,0.0174150724040921,460.8,4,1,25,1.4142135623731,5,2
"GCA_015104675.1",272722,"Julidochromis ornatus","Scaffold","Major","Full","2020/10/29","ISC1.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/675/GCA_015104675.1_ISC1.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Julidochromis","GCA_015104675.1_ISC1.scf",72.4,71.6,0.8,11.5,16.1,3640,693065394,0.424189161767462,0.0172794228418798,460.8,6,1,16.6666666666667,1.4142135623731,7,2
"GCA_015104715.1",184151,"Neolamprologus pulcher","Scaffold","Major","Full","2020/10/29","ISB3.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/715/GCA_015104715.1_ISB3.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Neolamprologus","GCA_015104715.1_ISB3.scf",73.9,73,0.9,12.6,13.5,3640,688076663,0.42501012637003,0.0173416708364661,460.8,7.58,3.22666666666667,42.5681618293755,4.64426528096749,12,3
"GCA_015104955.1",420107,"Neolamprologus multifasciatus","Scaffold","Major","Full","2020/10/29","IRF8.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/955/GCA_015104955.1_IRF8.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Neolamprologus","GCA_015104955.1_IRF8.scf",64.2,63.6,0.6,15.1,20.7,3640,661545306,0.421964533780758,0.0171694060814635,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015104995.1",27743,"Ectodus descampsii","Scaffold","Major","Full","2020/10/29","IRD7.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/104/995/GCA_015104995.1_IRD7.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Ectodus","GCA_015104995.1_IRD7.scf",74.4,73.7,0.7,11,14.6,3640,697273593,0.43769217734301,0.0179892500245596,460.8,10,2,20,2.82842712474619,12,2
"GCA_015105015.1",449317,"Julidochromis dickfeldi","Scaffold","Major","Full","2020/10/29","IRC4.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/105/015/GCA_015105015.1_IRC4.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Julidochromis","GCA_015105015.1_IRC4.scf",75.2,74.7,0.5,10.8,14,3640,708899645,0.426905155932955,0.0174314546313534,460.8,3.5,1.5,42.8571428571429,2.12132034355964,5,2
"GCA_015105095.1",27747,"Lestradea perspicax","Scaffold","Major","Full","2020/10/29","IRA2.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/105/095/GCA_015105095.1_IRA2.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Lestradea","GCA_015105095.1_IRA2.scf",70,69.5,0.5,12.2,17.8,3640,670395631,0.431920087605347,0.0176391826754014,460.8,10,2,20,2.82842712474619,12,2
"GCA_015105175.1",27755,"Ophthalmotilapia ventralis","Scaffold","Major","Full","2020/10/29","IQD3.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/105/175/GCA_015105175.1_IQD3.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Ophthalmotilapia","GCA_015105175.1_IQD3.scf",68.1,67.4,0.7,12.7,19.2,3640,668909459,0.430924008987581,0.0175788439553222,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015105335.1",32508,"Neolamprologus tetracanthus","Scaffold","Major","Full","2020/10/29","IPG3.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/105/335/GCA_015105335.1_IPG3.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Neolamprologus","GCA_015105335.1_IPG3.scf",75.8,75.1,0.7,10.2,14,3640,711815290,0.42694296609546,0.0174160757350408,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015105495.1",287481,"Lepidiolamprologus cunningtoni","Scaffold","Major","Full","2020/10/29","IOH5.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/105/495/GCA_015105495.1_IOH5.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Lepidiolamprologus","GCA_015105495.1_IOH5.scf",75.4,74.8,0.6,11.1,13.5,3640,717162431,0.427262025966024,0.0174645539958576,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015105655.1",1355922,"Cyphotilapia gibberosa","Scaffold","Major","Full","2020/10/29","INH7.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/105/655/GCA_015105655.1_INH7.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Cyphotilapia","GCA_015105655.1_INH7.scf",75.8,75.1,0.7,10.1,14.1,3640,707718098,0.40216302328525,0.0163151995584547,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015105755.1",559344,"Xenotilapia leptura","Scaffold","Major","Full","2020/10/29","INF1.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/105/755/GCA_015105755.1_INF1.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Xenotilapia","GCA_015105755.1_INF1.scf",70.2,69.6,0.6,12.9,16.9,3640,714186965,0.431308028168656,0.0176646419190807,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015105975.1",240481,"Xenotilapia flavipinnis","Scaffold","Major","Full","2020/10/29","JAF7.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/105/975/GCA_015105975.1_JAF7.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Xenotilapia","GCA_015105975.1_JAF7.scf",73.7,73.2,0.5,11.8,14.5,3640,714265809,0.436154849064224,0.0179191119590606,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015106455.1",420105,"Lamprologus signatus","Scaffold","Major","Full","2020/10/29","IWD6.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/106/455/GCA_015106455.1_IWD6.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Lamprologus","GCA_015106455.1_IWD6.scf",74.8,74.1,0.7,11.3,13.9,3640,706389436,0.432127386526936,0.0176598125116922,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015106635.1",311502,"Sargochromis carlottae","Scaffold","Major","Full","2020/10/29","JWF4.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/106/635/GCA_015106635.1_JWF4.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Sargochromis","GCA_015106635.1_JWF4.scf",76.1,75.6,0.5,10.4,13.5,3640,706231868,0.409474608842756,0.0167192285352946,460.8,5.5,0,0,NA,5.5,1
"GCA_015106695.1",311509,"Serranochromis macrocephalus","Scaffold","Major","Full","2020/10/29","JWF5.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/106/695/GCA_015106695.1_JWF5.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Serranochromis","GCA_015106695.1_JWF5.scf",77.4,76.7,0.7,11.2,11.4,3640,720263168,0.411807161326876,0.016846732609823,460.8,5.75,0.25,4.34782608695652,0.353553390593274,6,2
"GCA_015106715.1",242822,"Bujurquina vittata","Scaffold","Major","Full","2020/10/29","JWD8.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/106/715/GCA_015106715.1_JWD8.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Bujurquina","GCA_015106715.1_JWD8.scf",79.1,78.4,0.7,8.8,12.1,3640,685844181,0.383933221162748,0.0162688440160433,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015106735.1",80772,"Paratilapia polleni","Scaffold","Major","Full","2020/10/29","JWD5.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/106/735/GCA_015106735.1_JWD5.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Paratilapia","GCA_015106735.1_JWD5.scf",72,71,1,12.1,15.9,3640,814015474,0.29545788520112,0.0116087707197566,NA,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015106775.1",302778,"Etroplus canarensis","Scaffold","Major","Full","2020/10/29","JWD4.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/106/775/GCA_015106775.1_JWD4.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Etroplus","GCA_015106775.1_JWD4.scf",67.6,67,0.6,13.1,19.3,3640,975368651,0.309237555322222,0.0127817353850959,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015107095.1",329916,"Neolamprologus buescheri","Scaffold","Major","Full","2020/10/29","JEI5.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/107/095/GCA_015107095.1_JEI5.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Neolamprologus","GCA_015107095.1_JEI5.scf",71.2,70.7,0.5,12.2,16.6,3640,688595876,0.423339441714261,0.0172795153365107,460.8,6.5,1.5,23.0769230769231,2.12132034355964,8,2
"GCA_015107555.1",32488,"Boulengerochromis microlepis","Scaffold","Major","Full","2020/10/29","JCF2.scf","""CICHLID~X""","na","na","https://ftp.ncbi.nlm.nih.gov/genomes/all/GCA/015/107/555/GCA_015107555.1_JCF2.scf","",NA,"na","Eukaryota","Chordata","Actinopteri","Cichliformes","Cichlidae","Boulengerochromis","GCA_015107555.1_JCF2.scf",79.3,78.6,0.7,9.1,11.6,3640,728877443,0.392823601025888,0.0158443440813135,460.8,7.5,2.5,33.3333333333333,3.53553390593274,10,2
